time,vertical_velocity,horizontal_velocity,dist,alt,ang,weight,acc,fuel,NN
222,0.57,1641.44,-184534.85,12224.11,0,275.82,0.05,111.82,0.02
223,0.57,1641.44,-186176.29,12223.54,0,275.82,0.05,111.82,0.02
224,0.57,1641.44,-187817.73,12222.98,0,275.81,0.05,111.81,0.02
225,0.57,1641.44,-189459.17,12222.41,0,275.81,0.05,111.81,0.02
226,0.57,1641.44,-191100.61,12221.85,0,275.8,0.05,111.8,0.02
227,0.57,1641.44,-192742.06,12221.28,0,275.8,0.05,111.8,0.02
228,0.57,1641.44,-194383.5,12220.71,0,275.79,0.05,111.79,0.02
229,0.57,1641.44,-196024.94,12220.15,0,275.79,0.05,111.79,0.02
230,0.57,1641.44,-197666.38,12219.58,0,275.78,0.05,111.78,0.02
231,0.57,1641.44,-199307.82,12219.02,0,275.78,0.05,111.78,0.02
232,0.57,1641.44,-200949.26,12218.45,0,275.77,0.05,111.77,0.02
233,0.57,1641.44,-202590.7,12217.89,0,275.77,0.05,111.77,0.02
234,0.57,1641.44,-204232.14,12217.32,0,275.76,0.05,111.76,0.02
235,0.57,1641.44,-205873.58,12216.76,0,275.76,0.05,111.76,0.02
236,0.57,1641.44,-207515.02,12216.19,0,275.75,0.05,111.75,0.02
237,0.57,1641.44,-209156.46,12215.62,0,275.75,0.05,111.75,0.02
238,0.57,1641.44,-210797.9,12215.06,0,275.74,0.05,111.74,0.02
239,0.57,1641.44,-212439.34,12214.49,0,275.74,0.05,111.74,0.02
240,0.57,1641.44,-214080.78,12213.93,0,275.73,0.05,111.73,0.02
241,0.57,1641.44,-215722.22,12213.36,0,275.73,0.05,111.73,0.02
242,0.57,1641.44,-217363.66,12212.8,0,275.72,0.05,111.72,0.02
243,0.57,1641.44,-219005.1,12212.23,0,275.72,0.05,111.72,0.02
244,0.57,1641.44,-220646.54,12211.67,0,275.71,0.05,111.71,0.02
245,0.57,1641.44,-222287.98,12211.1,0,275.71,0.05,111.71,0.02
246,0.57,1641.44,-223929.42,12210.54,0,275.7,0.05,111.7,0.02
247,0.57,1641.44,-225570.86,12209.97,0,275.7,0.05,111.7,0.02
248,0.57,1641.44,-227212.31,12209.4,0,275.69,0.05,111.69,0.02
249,0.57,1641.44,-228853.75,12208.84,0,275.69,0.05,111.69,0.02
250,0.57,1641.44,-230495.19,12208.27,0,275.68,0.05,111.68,0.02
251,0.57,1641.44,-232136.63,12207.71,0,275.68,0.05,111.68,0.02
252,0.57,1641.44,-233778.07,12207.14,0,275.67,0.05,111.67,0.02
253,0.57,1641.44,-235419.51,12206.58,0,275.67,0.05,111.67,0.02
254,0.57,1641.44,-237060.95,12206.01,0,275.66,0.05,111.66,0.02
255,0.57,1641.44,-238702.39,12205.45,0,275.66,0.05,111.66,0.02
256,0.57,1641.44,-240343.83,12204.88,0,275.65,0.05,111.65,0.02
257,0.57,1641.44,-241985.27,12204.32,0,275.65,0.05,111.65,0.02
258,0.57,1641.44,-243626.71,12203.75,0,275.64,0.05,111.64,0.02
259,0.57,1641.44,-245268.15,12203.19,0,275.64,0.05,111.64,0.02
260,0.57,1641.44,-246909.59,12202.62,0,275.63,0.05,111.63,0.02
261,0.57,1641.44,-248551.03,12202.06,0,275.63,0.05,111.63,0.02
262,0.57,1641.44,-250192.47,12201.49,0,275.62,0.05,111.62,0.02
263,0.57,1641.44,-251833.91,12200.92,0,275.62,0.05,111.62,0.02
264,0.57,1641.44,-253475.35,12200.36,0,275.61,0.05,111.61,0.02
265,0.57,1641.44,-255116.79,12199.79,0,275.61,0.05,111.61,0.02
266,0.57,1641.44,-256758.23,12199.23,0,275.6,0.05,111.6,0.02
267,0.57,1641.44,-258399.67,12198.66,0,275.6,0.05,111.6,0.02
268,0.57,1641.44,-260041.12,12198.1,0,275.59,0.05,111.59,0.02
269,0.57,1641.44,-261682.56,12197.53,0,275.59,0.05,111.59,0.02
270,0.57,1641.44,-263324,12196.97,0,275.58,0.05,111.58,0.02
271,0.57,1641.44,-264965.44,12196.4,0,275.58,0.05,111.58,0.02
272,0.57,1641.44,-266606.88,12195.84,0,275.57,0.05,111.57,0.02
273,0.57,1641.44,-268248.32,12195.27,0,275.57,0.05,111.57,0.02
274,0.57,1641.44,-269889.76,12194.71,0,275.56,0.05,111.56,0.02
275,0.57,1641.44,-271531.2,12194.14,0,275.56,0.05,111.56,0.02
276,0.57,1641.44,-273172.64,12193.58,0,275.55,0.05,111.55,0.02
277,0.57,1641.44,-274814.08,12193.01,0,275.55,0.05,111.55,0.02
278,0.57,1641.44,-276455.52,12192.45,0,275.54,0.05,111.54,0.02
279,0.57,1641.44,-278096.96,12191.88,0,275.54,0.05,111.54,0.02
280,0.57,1641.44,-279738.4,12191.32,0,275.53,0.05,111.53,0.02
281,0.57,1641.44,-281379.84,12190.75,0,275.53,0.05,111.53,0.02
282,0.57,1641.44,-283021.28,12190.19,0,275.52,0.05,111.52,0.02
283,0.57,1641.44,-284662.72,12189.62,0,275.52,0.05,111.52,0.02
284,0.57,1641.44,-286304.16,12189.06,0,275.51,0.05,111.51,0.02
285,0.57,1641.44,-287945.6,12188.49,0,275.51,0.05,111.51,0.02
286,0.56,1641.44,-289587.04,12187.93,0,275.5,0.05,111.5,0.02
287,0.56,1641.44,-291228.48,12187.36,0,275.5,0.05,111.5,0.02
288,0.56,1641.44,-292869.92,12186.8,0,275.49,0.05,111.49,0.02
289,0.56,1641.44,-294511.37,12186.23,0,275.49,0.05,111.49,0.02
290,0.56,1641.44,-296152.81,12185.67,0,275.48,0.05,111.48,0.02
291,0.56,1641.44,-297794.25,12185.1,0,275.48,0.05,111.48,0.02
292,0.56,1641.44,-299435.69,12184.54,0,275.47,0.05,111.47,0.02
293,0.56,1641.44,-301077.13,12183.97,0,275.47,0.05,111.47,0.02
294,0.56,1641.44,-302718.57,12183.41,0,275.46,0.05,111.46,0.02
295,0.56,1641.44,-304360.01,12182.84,0,275.46,0.05,111.46,0.02
296,0.56,1641.44,-306001.45,12182.28,0,275.45,0.05,111.45,0.02
297,0.56,1641.44,-307642.89,12181.71,0,275.45,0.05,111.45,0.02
298,0.56,1641.44,-309284.33,12181.15,0,275.44,0.05,111.44,0.02
299,0.56,1641.44,-310925.77,12180.58,0,275.44,0.05,111.44,0.02
300,0.56,1641.44,-312567.21,12180.02,0,275.43,0.05,111.43,0.02
301,0.56,1641.44,-314208.65,12179.45,0,275.43,0.05,111.43,0.02
302,0.56,1641.44,-315850.09,12178.89,0,275.42,0.05,111.42,0.02
303,0.56,1641.44,-317491.53,12178.32,0,275.42,0.05,111.42,0.02
304,0.56,1641.44,-319132.97,12177.76,0,275.41,0.05,111.41,0.02
305,0.56,1641.44,-320774.41,12177.19,0,275.41,0.05,111.41,0.02
306,0.56,1641.44,-322415.85,12176.63,0,275.4,0.05,111.4,0.02
307,0.56,1641.44,-324057.29,12176.06,0,275.4,0.05,111.4,0.02
308,0.56,1641.44,-325698.73,12175.5,0,275.39,0.05,111.39,0.02
309,0.56,1641.44,-327340.17,12174.94,0,275.39,0.05,111.39,0.02
310,0.56,1641.44,-328981.62,12174.37,0,275.38,0.05,111.38,0.02
311,0.56,1641.44,-330623.06,12173.81,0,275.38,0.05,111.38,0.02
312,0.56,1641.44,-332264.5,12173.24,0,275.37,0.05,111.37,0.02
313,0.56,1641.44,-333905.94,12172.68,0,275.37,0.05,111.37,0.02
314,0.56,1641.44,-335547.38,12172.11,0,275.36,0.05,111.36,0.02
315,0.56,1641.44,-337188.82,12171.55,0,275.36,0.05,111.36,0.02
316,0.56,1641.44,-338830.26,12170.98,0,275.35,0.05,111.35,0.02
317,0.56,1641.44,-340471.7,12170.42,0,275.35,0.05,111.35,0.02
318,0.56,1641.44,-342113.14,12169.85,0,275.34,0.05,111.34,0.02
319,0.56,1641.44,-343754.58,12169.29,0,275.34,0.05,111.34,0.02
320,0.56,1641.44,-345396.02,12168.72,0,275.33,0.05,111.33,0.02
321,0.56,1641.44,-347037.46,12168.16,0,275.33,0.05,111.33,0.02
322,0.56,1641.44,-348678.9,12167.59,0,275.32,0.05,111.32,0.02
323,0.56,1641.44,-350320.34,12167.03,0,275.32,0.05,111.32,0.02
324,0.56,1641.44,-351961.78,12166.47,0,275.31,0.05,111.31,0.02
325,0.56,1641.44,-353603.22,12165.9,0,275.31,0.05,111.31,0.02
326,0.56,1641.44,-355244.66,12165.34,0,275.3,0.05,111.3,0.02
327,0.56,1641.44,-356886.1,12164.77,0,275.3,0.05,111.3,0.02
328,0.56,1641.44,-358527.54,12164.21,0,275.29,0.05,111.29,0.02
329,0.56,1641.44,-360168.98,12163.64,0,275.29,0.05,111.29,0.02
330,0.56,1641.44,-361810.43,12163.08,0,275.28,0.05,111.28,0.02
331,0.56,1641.44,-363451.87,12162.51,0,275.28,0.05,111.28,0.02
332,0.56,1641.44,-365093.31,12161.95,0,275.27,0.05,111.27,0.02
333,0.56,1641.44,-366734.75,12161.38,0,275.27,0.05,111.27,0.02
334,0.56,1641.44,-368376.19,12160.82,0,275.26,0.05,111.26,0.02
335,0.56,1641.44,-370017.63,12160.26,0,275.26,0.05,111.26,0.02
336,0.56,1641.44,-371659.07,12159.69,0,275.25,0.05,111.25,0.02
337,0.56,1641.44,-373300.51,12159.13,0,275.25,0.05,111.25,0.02
338,0.56,1641.44,-374941.95,12158.56,0,275.24,0.05,111.24,0.02
339,0.56,1641.44,-376583.39,12158,0,275.24,0.05,111.24,0.02
340,0.56,1641.44,-378224.83,12157.43,0,275.23,0.05,111.23,0.02
341,0.56,1641.44,-379866.27,12156.87,0,275.23,0.05,111.23,0.02
342,0.56,1641.44,-381507.71,12156.3,0,275.22,0.05,111.22,0.02
343,0.56,1641.44,-383149.15,12155.74,0,275.22,0.05,111.22,0.02
344,0.56,1641.44,-384790.59,12155.18,0,275.21,0.05,111.21,0.02
345,0.56,1641.44,-386432.03,12154.61,0,275.21,0.05,111.21,0.02
346,0.56,1641.44,-388073.47,12154.05,0,275.2,0.05,111.2,0.02
347,0.56,1641.44,-389714.91,12153.48,0,275.2,0.05,111.2,0.02
348,0.56,1641.44,-391356.35,12152.92,0,275.19,0.05,111.19,0.02
349,0.56,1641.44,-392997.79,12152.35,0,275.19,0.05,111.19,0.02
